famID	emmean	SE	df	asymp.LCL	asymp.UCL	.group
WGN07	0.000161889506152498	0.0172069463129097	Inf	-0.0335631055510648	0.0338868845633698	 A   
WGN38	0.0163905163905159	0.0188639246499943	Inf	-0.0205820965305504	0.0533631293115821	 AB  
WGN55	0.0228772728772743	0.0168977653246734	Inf	-0.0102417385782954	0.0559962843328439	 AB  
WGN15	0.0245508172337455	0.0172436692019838	Inf	-0.00924615336346532	0.0583477878309564	 AB  
WGN45	0.0589079953486763	0.0180390769682801	Inf	0.0235520541765013	0.0942639365208513	 ABC 
WGN26	0.0633243584063284	0.0177856477250439	Inf	0.0284651294235256	0.0981835873891311	 ABC 
WGN46	0.0791554480079078	0.0169605811146548	Inf	0.0459133198663141	0.112397576149501	  BCD
WGN36	0.106607610955438	0.0178606477625695	Inf	0.0716013846002461	0.14161383731063	   CD
WGN63	0.108168244531883	0.017405962846306	Inf	0.0740531842368809	0.142283304826885	   CD
WGN39	0.142394876265837	0.0169235561468615	Inf	0.109225315727647	0.175564436804027	    D
