famID	emmean	SE	df	asymp.LCL	asymp.UCL	.group
WGN07	0.601626016260128	0.032036374189327	Inf	0.538835876653799	0.664416155866458	 A   
WGN26	0.688505855834531	0.0348411120242241	Inf	0.620218531085727	0.756793180583336	 AB  
WGN45	0.708141991946995	0.0363401606734661	Inf	0.636916585834602	0.779367398059387	 AB  
WGN55	0.781910038648541	0.0318933836163088	Inf	0.719400155415456	0.844419921881626	  BC 
WGN46	0.796663963944201	0.0326709323264019	Inf	0.732630113243108	0.860697814645294	  BCD
WGN15	0.814932759470146	0.0325345388264144	Inf	0.751166235116754	0.878699283823538	  BCD
WGN63	0.866021665607466	0.0325453731887696	Inf	0.802233906294062	0.92980942492087	   CD
WGN38	0.885206648697188	0.0362872249829281	Inf	0.814084994631747	0.956328302762629	   CD
WGN39	0.889134899242675	0.0320163610403313	Inf	0.826383984687595	0.951885813797756	   CD
WGN36	0.940011463271004	0.0332852718466386	Inf	0.874773529235967	1.00524939730604	    D
