famID	emmean	SE	df	asymp.LCL	asymp.UCL	.group
WGN07	0.467741935483901	0.0427243303820087	Inf	0.384003786671574	0.551480084296229	 A     
WGN26	0.595455219454292	0.0446642081871332	Inf	0.507914980009512	0.682995458899072	 AB    
WGN15	0.645771151417624	0.0428945950376939	Inf	0.561699290012313	0.729843012822934	 ABC   
WGN45	0.671317974651945	0.0461082372642301	Inf	0.580947490223427	0.761688459080463	  BCD  
WGN46	0.772480687440313	0.0434070244401288	Inf	0.687404482861611	0.857556892019015	  BCDE 
WGN55	0.793650793650808	0.0430203380939759	Inf	0.709332480383879	0.877969106917737	   CDE 
WGN39	0.861351183415185	0.0423739588399091	Inf	0.77829975020658	0.944402616623789	    DE 
WGN63	0.882482712727478	0.0437408271103357	Inf	0.796752266937227	0.968213158517729	     E 
WGN38	0.955595292625364	0.048181937269283	Inf	0.861160430872201	1.05003015437853	     E 
WGN36	1.22060989078412	0.0445934313054902	Inf	1.13320837147829	1.30801141008994	      F
