famID	emmean	SE	df	asymp.LCL	asymp.UCL	.group
WGN15	0.59968881486683	0.0569908831414767	Inf	0.487988736462405	0.711388893271255	 A    
WGN36	0.623008808095944	0.0581116588462236	Inf	0.509112049675468	0.736905566516421	 A    
WGN38	0.634076086956482	0.0630882232985136	Inf	0.510425441442775	0.75772673247019	 A    
WGN07	0.849593495934966	0.0556977738081817	Inf	0.740427865251872	0.958759126618061	 AB   
WGN45	0.927884615384629	0.0645424171292163	Inf	0.801383802336204	1.05438542843305	  B   
WGN26	1.08812452326456	0.0605740344160552	Inf	0.969401597410803	1.20684744911832	  B   
WGN46	1.10162601626015	0.0570188532288432	Inf	0.989871117491837	1.21338091502845	  B   
WGN55	1.52307625948931	0.0554491796202374	Inf	1.41439786446135	1.63175465451727	   C  
WGN63	1.89355779427364	0.0565827153066695	Inf	1.78265771012508	2.00445787842219	    D 
WGN39	3.07069530710838	0.0558740719651243	Inf	2.96118413838714	3.18020647582962	     E
