famID	emmean	SE	df	asymp.LCL	asymp.UCL	.group
WGN15	-0.00243902439024192	0.0124944100622234	Inf	-0.0269276181202746	0.0220495693397908	 A  
WGN07	0.00590163934426174	0.0124243906891072	Inf	-0.0184497189362431	0.0302529976247666	 AB 
WGN45	0.0100000000000006	0.0130252676157491	Inf	-0.0155290554158635	0.0355290554158648	 AB 
WGN38	0.0133333333333319	0.0138549654032747	Inf	-0.0138218998641349	0.0404885665307988	 AB 
WGN63	0.0223140495867766	0.0127009292368064	Inf	-0.00257931428755583	0.047207413461109	 ABC
WGN36	0.0250434782608681	0.0128488804423812	Inf	-0.000139864647860172	0.0502268211695963	 ABC
WGN39	0.0349593495934983	0.0123617301945316	Inf	0.0107308036256152	0.0591878955613815	 ABC
WGN26	0.0355371900826449	0.0129078074777221	Inf	0.0102383523069328	0.0608360278583571	 ABC
WGN46	0.0598360655737679	0.0122464491567154	Inf	0.0358334662881048	0.0838386648594311	  BC
WGN55	0.0723809523809548	0.0122438632901696	Inf	0.0483834213005904	0.0963784834613192	   C
