famID	emmean	SE	df	asymp.LCL	asymp.UCL	.group
WGN15	0.860172506738597	0.049981350168396	Inf	0.762210860509856	0.958134152967338	 A     
WGN38	1.00065343461562	0.0567823393885018	Inf	0.889362094456225	1.11194477477501	 AB    
WGN45	1.01621819178576	0.0541950699748376	Inf	0.90999780649545	1.12243857707607	 AB    
WGN36	1.09107491402542	0.0553365665283473	Inf	0.982617236601756	1.19953259144909	 AB    
WGN07	1.21756661216911	0.0520174459132498	Inf	1.11561429161138	1.31951893272684	  BC   
WGN46	1.34181403808641	0.051792594766292	Inf	1.2403024176786	1.44332565849422	   CD  
WGN63	1.50035062345229	0.0521864497109552	Inf	1.39806706153781	1.60263418536677	    DE 
WGN55	1.67925597912119	0.0507541131510352	Inf	1.57977974527789	1.77873221296449	     E 
WGN26	1.72933144801387	0.0530077871351945	Inf	1.62543809432872	1.83322480169901	     E 
WGN39	2.05107388867495	0.0509447755340323	Inf	1.95122396342777	2.15092381392213	      F
