famID	emmean	SE	df	asymp.LCL	asymp.UCL	.group
WGN38	0.608782937117189	0.0593979136959264	Inf	0.492365165516355	0.725200708718023	 A     
WGN15	0.656736961646875	0.0528797713671659	Inf	0.553094514256517	0.760379409037232	 A     
WGN36	0.714848792181426	0.0549740739862315	Inf	0.607101587084972	0.82259599727788	 AB    
WGN07	0.818548387096765	0.0526698637278039	Inf	0.715317351119636	0.921779423073893	 AB    
WGN45	0.964685555242855	0.056841490852003	Inf	0.853278280345366	1.07609283014034	  BC   
WGN26	1.06766128911463	0.0550998976240128	Inf	0.959667474219724	1.17565510400954	   CD  
WGN46	1.14227642276424	0.0537167132115883	Inf	1.03699359950166	1.24755924602682	   CD  
WGN55	1.24206349206349	0.0530347772492612	Inf	1.13811723872684	1.34600974540015	    D  
WGN63	1.79236772314249	0.0539229873748853	Inf	1.6866806099489	1.89805483633607	     E 
WGN39	2.42450060832401	0.052437922230615	Inf	2.32172416932789	2.52727704732013	      F
